[init] addr=0x101000 log=/home/matsu/catalog/library/nginx/1.25/vmi_syscall_monitor/logs/p7_vs_strace.jsonl
[vm_state_change] running=1 state=9
[arm] attempt 1/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[arm] attempt 2/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[arm] attempt 3/100: re-arming (remove-then-insert) at 0x101000
[arm] readback=0xcc confirmed
[boot-sync] FW_CFG_KERNEL_DATA transfer completed
[boot-sync] BQL held on entry: yes
[boot-sync] arming breakpoint at 0x101000
[boot-sync] readback=0xcc confirmed
[boot-sync] guest may resume
[hit] cpu=0 rip=0x101000 rax=12
[hit] first real hit observed -- breakpoint confirmed live, stopping periodic re-verification
[hit] cpu=0 rip=0x101000 rax=21
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=262
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=9
[hit] cpu=0 rip=0x101000 rax=3
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=257
[hit] cpu=0 rip=0x101000 rax=0
[hit] cpu=0 rip=0x101000 rax=262
